id;artist_name;track_name;release_date;genre;danceability;energy
19103;justin timberlake;september;2016;pop;0.7714718942922129;0.8498451603293317
19131;grupo maximo grado;el hombre del equipo;2016;pop;0.8126286147514352;0.7597522565269305
19189;whethan;when i'm down;2016;pop;0.8288746886169177;0.7697625791716417
19193;daya;hide away;2016;pop;0.8916928408967834;0.8017956116347176
19270;sabrina carpenter;thumbs;2016;pop;0.7238167442867974;0.7187099336836145
19302;niykee heaton;bad intentions;2016;pop;0.7378966749702156;0.7207119982125567
19359;playboi carti;location;2017;pop;0.7097368136033794;0.7907842567255353
19421;khalid;hopeless;2017;pop;0.7833856817935667;0.7026934174520766
19444;kehlani;crzy;2017;pop;0.8288746886169177;0.7026934174520766
19473;playboi carti;yah mean;2017;pop;0.7736380374742771;0.730722320857268
19515;katy perry;swish swish;2017;pop;0.8418715477093037;0.7056965142454898
19524;blackbear;i miss the old u;2017;pop;0.7086537420123471;0.8128069665439001
19598;a$ap ferg;plain jane;2017;pop;0.7963825408859527;0.844839999006976
19607;dua lipa;new rules;2017;pop;0.7584750351998268;0.7006913529231342
19623;nav;some way;2017;pop;0.7433120329253764;0.7237150950059701
19628;justin bieber;friends (with bloodpop?);2017;pop;0.7378966749702156;0.7337254176506813
19642;kesha;woman;2017;pop;0.7378966749702156;0.7657584501137572
19786;jid;151 rum;2018;pop;0.7519766056536337;0.8678637410898117
19807;russ;nobody knows;2018;pop;0.7075706704213148;0.7107016755678455
