id;artist_name;track_name;release_date;genre;danceability;loudness;valence;energy
6073;paul simon;gone at last;1975;pop;0.604678869273259;0.6692562110606876;0.9433223413025557;0.7807739340808241
6102;firefall;no way out;1976;pop;0.6220080147297737;0.6716150039740532;0.8763396537510306;0.6306190944101557
6112;leo sayer;hold on to my love;1976;pop;0.6252572295028702;0.7533010281260415;0.8093569661995054;0.7427347080309215
6183;leo sayer;i hear the laughter;1976;pop;0.689158453373768;0.7245340102043432;0.8928276999175597;0.8438389667425048
6212;donna summer;autumn changes;1976;pop;0.8689483374851079;0.6440273825090377;0.7712283594394065;0.6146025781786177
6229;bryan ferry;let's stick together;1976;pop;0.7833856817935667;0.7934517857600697;0.9793899422918384;0.8928895477015898
6291;cliff richard;devil woman;1976;pop;0.6978230261020254;0.7030997615568033;0.8382110469909316;0.6866769012205385
6292;abba;money, money, money;1976;pop;0.7801364670204701;0.7383278209368509;0.701154163231657;0.6926830948073653
6331;the modern lovers;i wanna sleep in your arms;1976;pop;0.6555832340517709;0.7434812706714867;0.6589035449299256;0.6866769012205385
6345;tom petty and the heartbreakers;strangered in the night;1976;pop;0.6978230261020254;0.7702997205343178;0.832028029678483;0.878875095998994
6363;boz scaggs;love me tomorrow;1976;pop;0.7346474601971191;0.7610183832012921;0.9113767518549051;0.7016923851876053
6364;smokie;needles and pins;1977;pop;0.6967399545109932;0.7382765428300386;0.8237840065952184;0.7947883857834198
6383;elvis costello;pay it back;1977;pop;0.7898841113397596;0.6680511755505986;0.8361500412201154;0.6526418042285204
6410;10cc;you've got a cold;1977;pop;0.6739954510993178;0.6639232879522088;0.9196207749381697;0.6596490300798182
6454;eddie money;where's the party?;1977;pop;0.6826600238275752;0.7196882291105812;0.7320692497938994;0.6876779334850097
6551;firefall;head on home;1977;pop;0.6285064442759667;0.6368740866087224;0.7681368507831822;0.6356242557325114
6568;electric light orchestra;jungle;1977;pop;0.6501678760966101;0.7092018562674666;0.8289365210222588;0.7987925148413042
6581;electric light orchestra;birmingham blues;1977;pop;0.6956568829199612;0.6502833115401379;0.818631492168178;0.6146025781786177
6587;jackson browne;here come those tears again;1977;pop;0.6631647351889961;0.6748455247032279;0.7248557295960427;0.6105984491207332
